""	"pathway"	"pathway_members"	"pval"	"fdr"	"n"	"N"	"set_enrichment_score"
"D32"	"Pyrimidine Metabolism"	"HMDB0000641;HMDB0000226;HMDB0000089;HMDB0000296;HMDB0000300;HMDB0000076;HMDB0000026;HMDB0000056;HMDB0000012;HMDB0000079;HMDB0003911"	0.0641854829027908	0.680543258087612	11	59	0.381068752036494
"D106"	"beta-Ureidopropionase Deficiency"	"HMDB0000641;HMDB0000226;HMDB0000089;HMDB0000296;HMDB0000300;HMDB0000076;HMDB0000026;HMDB0000056;HMDB0000012;HMDB0000079;HMDB0003911"	0.0641854829027908	0.680543258087612	11	59	0.381068752036494
"D110"	"Dihydropyrimidinase Deficiency"	"HMDB0000641;HMDB0000226;HMDB0000089;HMDB0000296;HMDB0000300;HMDB0000076;HMDB0000026;HMDB0000056;HMDB0000012;HMDB0000079;HMDB0003911"	0.0641854829027908	0.680543258087612	11	59	0.381068752036494
"D130"	"MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)"	"HMDB0000641;HMDB0000226;HMDB0000089;HMDB0000296;HMDB0000300;HMDB0000076;HMDB0000026;HMDB0000056;HMDB0000012;HMDB0000079;HMDB0003911"	0.0641854829027908	0.680543258087612	11	59	0.381068752036494
"D141"	"UMP Synthase Deficiency (Orotic Aciduria)"	"HMDB0000641;HMDB0000226;HMDB0000089;HMDB0000296;HMDB0000300;HMDB0000076;HMDB0000026;HMDB0000056;HMDB0000012;HMDB0000079;HMDB0003911"	0.0641854829027908	0.680543258087612	11	59	0.381068752036494
"D"	"Citrullinemia Type I"	"HMDB0000641;HMDB0000161;HMDB0000208;HMDB0000148;HMDB0000243;HMDB0000191;HMDB0000214;HMDB0000904;HMDB0000517;HMDB0000294;HMDB0000052;HMDB0000134"	0.0820906888508025	0.680543258087612	12	28	0.353046594982079
"D1"	"Carbamoyl Phosphate Synthetase Deficiency"	"HMDB0000641;HMDB0000161;HMDB0000208;HMDB0000148;HMDB0000243;HMDB0000191;HMDB0000214;HMDB0000904;HMDB0000517;HMDB0000294;HMDB0000052;HMDB0000134"	0.0820906888508025	0.680543258087612	12	28	0.353046594982079
"D2"	"Argininosuccinic Aciduria"	"HMDB0000641;HMDB0000161;HMDB0000208;HMDB0000148;HMDB0000243;HMDB0000191;HMDB0000214;HMDB0000904;HMDB0000517;HMDB0000294;HMDB0000052;HMDB0000134"	0.0820906888508025	0.680543258087612	12	28	0.353046594982079
"D40"	"Urea Cycle"	"HMDB0000641;HMDB0000161;HMDB0000208;HMDB0000148;HMDB0000243;HMDB0000191;HMDB0000214;HMDB0000904;HMDB0000517;HMDB0000294;HMDB0000052;HMDB0000134"	0.0820906888508025	0.680543258087612	12	28	0.353046594982079
"D132"	"Ornithine Transcarbamylase Deficiency (OTC Deficiency)"	"HMDB0000641;HMDB0000161;HMDB0000208;HMDB0000148;HMDB0000243;HMDB0000191;HMDB0000214;HMDB0000904;HMDB0000517;HMDB0000294;HMDB0000052;HMDB0000134"	0.0820906888508025	0.680543258087612	12	28	0.353046594982079
"D201"	"Argininemia"	"HMDB0000641;HMDB0000161;HMDB0000208;HMDB0000148;HMDB0000243;HMDB0000191;HMDB0000214;HMDB0000904;HMDB0000517;HMDB0000294;HMDB0000052;HMDB0000134"	0.0820906888508025	0.680543258087612	12	28	0.353046594982079
"D15"	"Porphyrin Metabolism"	"HMDB0000123;HMDB0001008;HMDB0000054"	0.100404246916041	0.680543258087612	3	40	0.637992831541219
"D188"	"Hereditary Coproporphyria (HCP)"	"HMDB0000123;HMDB0001008;HMDB0000054"	0.100404246916041	0.680543258087612	3	40	0.637992831541219
"D189"	"Acute Intermittent Porphyria"	"HMDB0000123;HMDB0001008;HMDB0000054"	0.100404246916041	0.680543258087612	3	40	0.637992831541219
"D190"	"Congenital Erythropoietic Porphyria (CEP) or Gunther Disease"	"HMDB0000123;HMDB0001008;HMDB0000054"	0.100404246916041	0.680543258087612	3	40	0.637992831541219
"D191"	"Porphyria Variegata (PV)"	"HMDB0000123;HMDB0001008;HMDB0000054"	0.100404246916041	0.680543258087612	3	40	0.637992831541219
"D222"	"Fatty Acid Biosynthesis"	"HMDB0000039;HMDB0000535;HMDB0000482;HMDB0000511;HMDB0000638;HMDB0000806;HMDB0000220"	0.104375235645569	0.680543258087612	7	35	0.435483870967742
"D21"	"Valine, Leucine, and Isoleucine Degradation"	"HMDB0000687;HMDB0000695;HMDB0000883;HMDB0000019;HMDB0000023;HMDB0000202;HMDB0000172;HMDB0000491;HMDB0000208;HMDB0000148;HMDB0000254"	0.132376271128333	0.680543258087612	11	60	0.338383838383838
"D96"	"2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency"	"HMDB0000687;HMDB0000695;HMDB0000883;HMDB0000019;HMDB0000023;HMDB0000202;HMDB0000172;HMDB0000491;HMDB0000208;HMDB0000148;HMDB0000254"	0.132376271128333	0.680543258087612	11	60	0.338383838383838
"D97"	"3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency"	"HMDB0000687;HMDB0000695;HMDB0000883;HMDB0000019;HMDB0000023;HMDB0000202;HMDB0000172;HMDB0000491;HMDB0000208;HMDB0000148;HMDB0000254"	0.132376271128333	0.680543258087612	11	60	0.338383838383838
